Tag,Twitter,Pronouns,Staff Page Blurb,Staff Page Profile Link,Staff Page Pic URL
_Kookie,,he/him,,,
-ZAN,@zanverse,,Puyo TO dreaming of #PUZZLESWEEP one day,https://twitter.com/zanverse,
ACPK,@acpkrabb,they/them,,,
Adeveis Wingzero ,@adeveis,he/him,,,
ADK5 Seth,@ADKSeth,he/him,,,
Aeiry,@micahbradbury,he/him,"Famous Big Band combo doer Aeiry
To whatever broken move your main has in your game: They need it (surely)",https://twitter.com/@micahbradbury,
Ahiru Who?,@AhiruWho,they/them,Embrace the  M O T I V A T I O N,https://twitter.com/@AhiruWho,https://dl.airtable.com/.attachments/932e052b6335ac3806b0e69220059703/d75742d5/j1dyyiYTeiOjtXRwSxZZ
Ahntye,@Ahntye,they/them,,,
Ailerus,@ailerusvmp,he/him,I help run and stream events for Vampire Savior with my friends under the VampireArcadia twitch channel.,https://twitch.tv/vampirearcadia,https://dl.airtable.com/.attachments/0e1b86c8c6375ae9774d50841ad503a1/7b9ddb33/ailerus.jpg
AirinTV,@AirinTV,"she/her,it/its",,,
Akaragitsune,@Akaragitsune,he/him,i have like nothing intelligent to put here LOL,https://twitter.com/@Akaragitsune,https://dl.airtable.com/.attachments/6e7759e2d5324c62408d2b58a7a18bc8/09fa594a/sWQjKhefRZeTcbVLIkiI
Akaza,@akazacaiu,he/him,Play BBTAG,https://twitter.com/@akazacaiu,https://dl.airtable.com/.attachments/8299f4913afab27f15edc7f26c27ea05/c0377619/Bhz3a35aQwq86t8FVpmd
Akimi,@Aki_fgc,she/her,"The IRL Vtuber, specializing in MBAACC and MBTL. Commentator and player to various French Bread games and notorious punslinger.",https://twitter.com/Aki_fgc,
Alchemist of Atlas,@MahoutsukaiRin,he/him,Commentator,https://twitter.com/@MahoutsukaiRin,https://dl.airtable.com/.attachments/4a7a30a700a7087ecbcae133cd222fec/214406fb/SyXN2Lr1QScqzVuZT5mj
Alexalchemy,@Alexalchemy1,he/him,"Howdy, i'm a TO/commenator from Puerto Rico that runs various online tournaments for multiple games and is the main TO for series like: Alexalchemy's Fightcade Series, Waku Waku Biweeklies and the Super SLASH Brothers monthly series with ToastRider.

I'm also the head TO for multiple charity events like Alexalchemy's Charity Thing (Or ACT for short) and the Fight for the Future series with Ultrayoshi.

(And yes, i'm the one responsible for Evo Rex and is considered as the Dino Rex guy according to Saint Cola lmao)",https://twitter.com/@Alexalchemy1,https://dl.airtable.com/.attachments/88283a77c81c6a99667d381351afed91/7574ff84/kKbYuo8QCuo2AsutVOs9
Alexeir,@Alexeir_,he/him,Dont lose to your past,https://twitter.com/Alexeir_,https://dl.airtable.com/.attachments/7e8491c3cf7e10f28dbf24853c28a9eb/5fb86964/yNeLgj11RoCZCiGatae9
Aligari,,he/him,Event organizer and competitor for SoCal FGC. Always pushing for poverty and trying to build scenes for underrepresented games. See me in +R or Melty.,https://youtu.be/V4YlRovXHMQ,
AmaterrasVT,@AmaterrAsura,he/him,"Former FGC Pot Monster turned into a wack VTuber. Indo FGC Local Gatekeeper for Xrd, everyone hates my Leo Whitefang.",https://www.twitch.tv/amaterrasvt,https://dl.airtable.com/.attachments/5a0a15eb09a6d9e7ccd54397a3d841d4/1f6bf31a/srOXrzLOR9qvzov14HT9
Andrew,@on9drew,he/him,,,
Antser,@AHD_Antrolos,he/him,,,
Araett,@LTFGC_Araett,he/him,,,
Aranlyde,@Aranlyde,they/them,,,
arkruis,@arkruis,he/him,Talk TYPE-MOON to me,https://twitch.tv/arkruis,https://dl.airtable.com/.attachments/0b8ba24b902211bd222b91c38ccfe182/d0770e91/Y0ZzSqCRTWYaBKAhqusI
Arneezy,@arneezy619,he/him,"Tournament organizer, commentator and streamer.  Self proclaimed old man of the FGC.",https://twitter.com/arneezy619,https://dl.airtable.com/.attachments/665c7d843e040433352f3c030593f393/3fe36919/Na17globSw6ODQlQiVdb
Aroo,@aroolee,he/him,,,
AtlasOmega,@AtlasOmega_,he/him,"Dallas, Texas Tournament Organizer and TO for Quickdraw Brawl. One of Texas' loudest shills. Support your locals. [trust the process.]",https://atlasomega.carrd.co/,https://dl.airtable.com/.attachments/1a0e4272e2d40d56ad7dfea2e636b673/b298c9c6/e2GibOZQ6ezF9R62sK5W
Attitude Indicator,@attitudeindicat,he/him,its not -10 if your dead,https://twitter.com/@attitudeindicat,https://dl.airtable.com/.attachments/70610819360868890d2e25378aa527ed/00fb2d9e/kBED6TQHy4WvVxXuolRQ
auraisbad,@auraisbad,they/them,,,
Aurostella,@_aurostella,he/him,,,
Aymer,@errAymer,she/her,sekhmet fangirl,https://twitter.com/@errAymer,https://dl.airtable.com/.attachments/d9a9539ec9cde8f70a5bd64a22512fbd/cb84dc03/O8A1rOL8Rta3HSCp8xgH
Bandana,@bandanabluee,they/them,Argentinian Fighting Game player,https://twitter.com/@bandanabluee,
Bardeeno,@BardeenoCasino,he/him,,,
Barney,,they/them,,,
Ben Hooks,@VivaBenHooks,he/him,"Celebrity Commentator Ben Hooks has been gracing mics and screens for over a year, and has numerous brought eloquence, poise and excitement to the ears of countless fighting game fans  on the journey, including, including commentary stints with Level Up Live, Grilla, HyperX Arena Las Vegas - He's eager to bring his skills to the forefront for Vortex Gallery!",@VivaBenHooks,
Berris,@S_Berris,he/him,Biggest Eltmun Upplayer,https://twitter.com/@S_Berris,https://dl.airtable.com/.attachments/6c2608b8358eb3b21d5ac5175b6d370d/c3e46b85/H5KTwvLSm2I1JYj8VXn7
Bigpapachunk,@bigpapachunk,he/him,"Hi, I play and organize SCVI in the Norther California Bay Area. I also am a teacher and a musician.",,https://dl.airtable.com/.attachments/b5f46358dfdc1af13a68199ab1403019/471c8c76/Bigpapachunk.png
BiLL,@FGCBiLL,he/him,GGs Gamer,https://twitter.com/@FGCBiLL,https://dl.airtable.com/.attachments/21a9ff3dc8ae06dc884134f1b32492f6/b9d4b03e/eSXJCjGUQ7WtMKoO1mrY
Blackbas,@Blackbas6,he/him,,,
Bloo,@Bloo4LYFE,he/him,Hello! My name is Bloo and while I'm also helping with Vortex Gallery I'm also the head writer for AFGCNews. I always willing to help the anime fighting game scene grow higher and higher and want to be there every step of the way.,,
BlvckJesus,@_JeSuisNoir,he/him,,,
Bonus7,@BonusVII,he/him,,,
Boxy,@B0xyBox,he/him,Hi! I'm a fighting game fan which tries to help fun events like these in any way that I can! also also a Skullgirls Latam South moderator/TO :D,https://twitter.com/B0xyBox,
bracketmanps,@bracketmanps,he/him,Time to hit the links!,https://twitter.com/bracketmanps,https://dl.airtable.com/.attachments/9118c8d4e25ecd3048e909187cff3238/680e840c/Kj7goV37RtKXigTVZs2A
Brett,@HellaBrett,he/him,,twitch.tv/thebrett,https://dl.airtable.com/.attachments/7576710d2af23357a528b47fb8cee1d9/62aaaff9/staff_brett.jpg
Bulletprccf,@xBulletprccf,ze/hir,"♤ TO for the gundam exvs series, including full boost, gundam versus, and maxiboost on: hosts various online charity brackets, lead & creator of the situation is not ideal series, and runs mbon brackets at climax of night & frosty faustings.  ♤  author on archive of our own (Bulletprccf).  ♤  minor voice actor for redmufflerman & checkpoint.  ♤",https://archiveofourown.org/users/Bulletprccf/profile,https://dl.airtable.com/.attachments/e057205f4fed969a4bc5ace5fb5a689f/952b1343/0BmKWAGR52yNmoG6gs9Q
Butt69,@kingbutt69,"he/him,they/them","Butt69 is a fighting game player from Louisville, Kentucky known for playing many ""poverty games"" like Ultra Fight Da! Kyanta 2, Fight of Animals, and many others.",https://youtube.com/user/Xsearsgameplayer,https://dl.airtable.com/.attachments/54c3bc2106d82a59f518c6798e28babc/38e8fe2d/Butt69.jpg
c0ruj4,@C00ruja,he/him,tropa do calvo,https://twitter.com/@C00ruja,
Cakekattekoi,@cakekattekoi,he/him,Divekick is life.,https://twitter.com/@cakekattekoi,https://dl.airtable.com/.attachments/11aa4c9210f917dc6cd7aa36c0e4f314/4e2f21dc/JNIombp5RL6OdC16Pd3C
Calexe,@Calexeee,he/him,I'll handle this one personally.,https://twitter.com/Calexeee,https://dl.airtable.com/.attachments/8d9543bf470666d1fa1fc98394597809/9f0c4361/VbbFyqEqT1Gts3qyikiM
Cambosa,@Cambosa1,he/him,,,
Camyoin,@Creepy_Camyoin,they/them,North American VSAV's up-and-coming Jedah and the East Coast's VSAV commentator extraordinare! Work hard! Fight harder! Do your best! And remember: YOU GOTTA SPINTA TO WIN-TA! ,https://twitter.com/@Creepy_Camyoin,
CancerisR,@CancerisR,he/him,"Tournament organizer for Melty Sud's MBAACC events, also Koihime and SGNT4 I think.",https://twitter.com/@CancerisR,https://dl.airtable.com/.attachments/20e82d8999cb9ae15f1fb50f66769e43/896adcfb/DJMf77s3Sq2zHAu3W99g
CarbonClyve,@clyveSPEAKS,he/him,Child of Sociology; Competitive Fighting Game Player & Commentator; MY SOUL STILL BURNS,https://twitter.com/@clyveSPEAKS,
Casanova,@MidnightMashers,he/him,i mashed lmao,https://twitter.com/@MidnightMashers,
casey,@casey2161,they/them,UNI and GBVS player that likes to have a bit of fun doing commentary,https://twitter.com/casey2161,
Cassie,@Cassie___1,she/her,Rolling!,https://twitter.com/@Cassie___1,https://dl.airtable.com/.attachments/51d0d66581cc21cd668f628eed0c794e/0ffb5c16/46FGzWQnKujrh3yxjzCg
CaTS,@CaTS_RoA,any,,,
Ceekos,@ceekos_hftf,he/him,"Currently making HFTF videos on YouTube for the amazing community 🙏
But now also helping other similar communities in SEA, hope we all have fun gaming together!",https://youtube.com/@Ceekos,https://dl.airtable.com/.attachments/c9ac852fc476f22260ac948b80c8d86f/0f471de8/OFFiANimS0G6JW7LzDVI
ChairGTables,@chairgtables,any,Kusoge obsessed lead developer at indie game studio LAME Dimension. Competes and runs tournaments for multiple games at events to take game design notes on funny jank in fighting games and understand the heart of the players. This fake VTuber is currently on a quest to find the legendary ghost of EVO and have a match against him to win burgers and become the ghost of Vortex Gallery.,,https://dl.airtable.com/.attachments/35cc7d047034b4a54d4d6c38beaf5605/3d976c18/chairgtables.png
Chake,@WyanpakuChake,he/him,"WUBBA WUBBA, I'M IN THE PINK!",https://twitter.com/@WyanpakuChake,https://dl.airtable.com/.attachments/6fc524f502a4ec5784026396bf4b4a44/d9b75804/82mp6yY6SQyeLSWA8d6a
Chapter XLVII,@ChapterXVII,he/him,"Owner, FAUSTIAN",https://www.faustianfgc.com,https://dl.airtable.com/.attachments/1c8eea67ad7d975218b6c085acca80a0/e354d2c8/ChapterXLVII.jpeg
CHFinal,@CHuhFiNaL,he/him,,,
Chiavoni,@xCHIAVONIx,he/him,NA MoTW player/bracket runner/commentator.  I like doing instant air divekicks and putting people the corner.,https://twitter.com/@xCHIAVONIx,
Chickzama,@chickzama,any,"TO for Exceed Assault, The Snake Pit & The World Serpent Championship.
Also a Vtuber.
I really like Blazblue: Central Fiction and Hazama.",https://twitter.com/Chickzama,https://dl.airtable.com/.attachments/12eec7166ee9700ad94f540445703559/6ea68d5b/staff_chickzama.jpg
chimps121,@chimps121,he/him,I'm the owner of the Skullgirls Oceania Discord and often help with streaming/bracket running/commentating.,https://twitter.com/@chimps121,https://dl.airtable.com/.attachments/f1f52fa1a6a36d5887f33d796dedb698/79577c92/chimps121.png
Chopper,@Ch0pper25,he/him,,,
Chris™,@RunePopz,he/him,,,
Church_hb,@Church_hb,she/her,,,
Cleo / A.D.H.D,@ADHD2I,she/her,"SF2 / SF3 Player, Former SamSho Player. CMV Artist.",https://twitter.com/@ADHD2I,
CodyYuki,@CodyYuki_,any,,,
Cookie,@CookieFGC,he/him,Florida based commentator for Under Night and KOF! I love to chat about fighting games and I am very passionate about the games I do commentate.,https://twitter.com/cookieFGC,https://dl.airtable.com/.attachments/39c0f08640127ec54a7d13f4648f41e5/2ba352c4/tNVk4wheTdKv7fXevlSz
Coren,@CxR_Coren,he/him,,https://twitter.com/cxr_coren,https://dl.airtable.com/.attachments/4d524512302d6f7280fb383137c43132/73824dda/staff_coren.jpg
